fire_year,general_cause_desc,isNaturalCaused,true_cause,assessment_hectares,current_size,fire_spread_rate,fire_type,fire_position_on_slope,weather_conditions_over_fire,temperature,relative_humidity,wind_direction,wind_speed
2006,Lightning,1,,0.01,0.01,0.2,Surface,Flat,Cloudy,18,35,N,10
2006,Lightning,1,,0.01,584,2,Crown,Flat,Clear,14,71,SE,20
2006,Lightning,1,,0.01,473,3,Crown,Flat,Clear,29,26,SW,33
2006,Resident,0,Unpredictable Event,0.01,0.01,0,Surface,Flat,Clear,18,40,NE,5
2006,Recreation,0,Abandoned Fire,0.01,0.01,0,Surface,Flat,Clear,18,51,SE,8
2006,Restart,0,,0.01,0.01,0.1,Surface,Middle 1/3,CB Dry,21,40,CLM,0
2006,Resident,0,Permit Related,0.01,0.01,0,Ground,Flat,Cloudy,18,38,NW,10
2006,Lightning,1,,0.01,0.01,0.1,Surface,Flat,CB Wet,15,100,S,5
2006,Lightning,1,,0.03,0.03,0,Surface,Flat,Cloudy,16,40,W,5
2006,Oil & Gas Industry,0,Burning Substance,0.01,0.01,0,Ground,Flat,Clear,24,47,CLM,0
2006,Lightning,1,,2,0.9,35,Crown,Flat,CB Wet,25,26,W,20
2006,Resident,0,Unattended Fire,1,0.3,1,Ground,Flat,Cloudy,22,40,NW,20
2006,Lightning,1,,0.1,0.01,0.1,Surface,Flat,CB Dry,23,32,E,3
2006,Lightning,1,,0.01,0.01,0,Surface,Flat,Cloudy,17,67,N,6
2006,Resident,0,Burning Substance,0.01,0.01,3,Surface,Flat,Clear,18,44,SW,18
2006,Lightning,1,,0.01,0.01,0,Surface,Flat,Clear,25,40,S,5
2006,Resident,0,Permit Related,0.4,0.4,4,Surface,Flat,Clear,33,44,CLM,0
2006,Lightning,1,,0.01,0.01,0,Surface,Lower 1/3,Clear,31,30,SE,12
2006,Lightning,1,,0.01,0.01,1,Surface,Flat,Clear,35,20,E,5
2006,Lightning,1,,0.1,0.1,4,Surface,Flat,Cloudy,28,25,E,5
2006,Lightning,1,,0.1,0.1,1,Surface,Middle 1/3,CB Dry,25,35,E,10
2006,Lightning,1,,0.01,0.01,0.1,Surface,Middle 1/3,CB Wet,20,66,CLM,0
2006,Lightning,1,,0.2,0.2,0.5,Ground,Flat,CB Dry,33,13,NE,5
2006,Lightning,1,,1,2.06,1,Surface,Flat,Cloudy,20,50,SW,5
2006,Lightning,1,,0.01,0.01,0,Surface,Flat,Cloudy,27,52,SW,3
2006,Lightning,1,,0.75,0.65,0.1,Surface,Middle 1/3,Clear,28,27,NE,5
2006,Lightning,1,,30,6300,30,Crown,Middle 1/3,Cloudy,24,20,W,14
2006,Restart,0,,0.03,0.03,0.1,Ground,Flat,Cloudy,26,31,S,1
2006,Lightning,1,,0.03,0.5,0.1,Surface,Flat,Clear,20,20,SW,5
2006,Lightning,1,,0.01,0.01,0,Surface,Upper 1/3,Cloudy,25,29,CLM,0
2006,Lightning,1,,0.01,0.01,0,Ground,Flat,Cloudy,15,80,W,5
2006,Lightning,1,,0.3,0.7,0.1,Ground,Flat,Clear,27,45,SW,4
2006,Lightning,1,,0.01,0.01,0.5,Surface,Flat,Cloudy,20,35,NW,5
2006,Lightning,1,,0.3,0.05,0.5,Surface,Flat,Clear,21,35,N,7
2006,Resident,0,Unpredictable Event,0.5,0.25,0,Surface,Flat,Cloudy,19,45,SW,15
2006,Lightning,1,,0.1,0.1,1,Surface,Flat,Clear,14.5,55,NW,15
2006,Recreation,0,Abandoned Fire,0.01,0.01,0,Surface,Flat,Cloudy,25,55,CLM,0
2006,Lightning,1,,0.1,0.1,0,Ground,Flat,Clear,17,40,W,10
2006,Recreation,0,Unpredictable Event,0.01,0.01,0.5,Surface,Bottom,Clear,32,18,CLM,0
2006,Lightning,1,,0.01,0.01,0.4,Surface,Flat,CB Wet,19,35,NE,15
2006,Recreation,0,Abandoned Fire,0.01,0.01,0,Surface,Lower 1/3,Clear,20,30,E,30
2006,Lightning,1,,0.01,0.01,0,Surface,Flat,Cloudy,21,35,CLM,0
2006,Lightning,1,,0.1,0.1,0,Surface,Flat,Rainshowers,28,25,W,15
2006,Recreation,0,Abandoned Fire,0.01,0.01,0,Surface,Bottom,Clear,25,25,CLM,0
2006,Lightning,1,,50,627,1,Crown,Flat,Cloudy,29,26,SW,33
2006,Resident,0,Permit Related,0.01,0.01,0,Surface,Flat,Cloudy,22,56,NW,10
2006,Lightning,1,,5,3.8,2,Ground,Flat,Cloudy,19,43,W,15
2006,Resident,0,Unsafe Fire,0.01,0.01,0,Surface,Lower 1/3,Clear,4,80,N,5
2006,Lightning,1,,2,3.7,0,Ground,Flat,Clear,20,40,W,10
2006,Lightning,1,,0.03,0.03,0.5,Surface,Flat,Cloudy,24,40,W,10
2006,Lightning,1,,0.01,0.2,0,Surface,Middle 1/3,Cloudy,17,31,CLM,0
2006,Lightning,1,,0.01,0.01,0,Surface,Bottom,Cloudy,10,65,W,25
2006,Lightning,1,,0.01,0.01,0,Surface,Flat,Rainshowers,16,70,CLM,0
2006,Lightning,1,,0.01,0.01,0,Ground,Flat,Cloudy,19,40,W,15
2006,Lightning,1,,0.01,0.01,0,Surface,Upper 1/3,Clear,10,40,W,5
2006,Resident,0,Permit Related,0.01,0.01,0.1,Surface,Flat,Clear,14,25,W,10
2006,Lightning,1,,0.01,0.01,0.1,Surface,Flat,Clear,19,40,SW,15
2006,Resident,0,Permit Related,0.01,0.01,0,Ground,Flat,Clear,20,30,W,5
2006,Recreation,0,Abandoned Fire,0.01,0.01,0,Surface,Flat,Clear,24,50,CLM,0
2006,Lightning,1,,0.01,0.03,0.5,Surface,Upper 1/3,Clear,24,28,W,5
2006,Resident,0,Permit Related,0.01,0.01,0,Ground,Flat,Clear,10,67,W,7
2006,Lightning,1,,0.01,0.01,0.1,Surface,Upper 1/3,Clear,21,36,W,10
2006,Oil & Gas Industry,0,Burning Substance,0.02,0.02,5,Surface,Flat,Cloudy,22,40,SE,15
2006,Oil & Gas Industry,0,Burning Substance,0.01,0.01,0,Ground,Flat,Clear,19,25,NW,5
2006,Power Line Industry,0,Burning Substance,0.01,0.01,0,Surface,Flat,Clear,28,30,W,15
2006,Oil & Gas Industry,0,Burning Substance,0.1,0.1,0,Surface,Middle 1/3,Clear,19,25,NW,5
2006,Lightning,1,,0.1,0.1,0.1,Surface,Bottom,Clear,21,40,CLM,0
2006,Lightning,1,,1,0.5,3,Surface,Flat,Cloudy,26,30,SE,15
2006,Lightning,1,,0.1,0.1,0.1,Crown,Flat,CB Wet,12,100,W,10
2006,Lightning,1,,0.01,0.01,1,Crown,Lower 1/3,Clear,25,26,W,15
2006,Lightning,1,,0.02,0.02,0,Surface,Flat,Cloudy,23,40,E,5
2006,Lightning,1,,0.01,0.01,0,Surface,Flat,Cloudy,28,40,N,5
2006,Lightning,1,,0.4,0.1,1,Surface,Flat,Clear,27,60,CLM,0
2006,Lightning,1,,0.01,0.01,0,Surface,Flat,Cloudy,20,50,S,4
2006,Lightning,1,,0.01,0.01,2,Ground,Flat,Clear,24.5,46,SW,7
2006,Oil & Gas Industry,0,,0.02,0.01,0,Surface,Flat,Cloudy,30,33,SW,2
2006,Lightning,1,,0.01,0.01,0.5,Surface,Middle 1/3,CB Wet,12,30,W,15
2006,Lightning,1,,0.01,0.05,0.5,Crown,Flat,CB Dry,26,25,W,10
2006,Lightning,1,,1,1,2,Surface,Flat,Clear,27.5,38,SE,13
2006,Lightning,1,,0.01,0.01,0,Surface,Flat,CB Dry,25,30,E,10
2006,Lightning,1,,0.01,0.01,0,Surface,Flat,Cloudy,22,45,NW,5
2006,Lightning,1,,0.01,0.01,0,Surface,Flat,Cloudy,20,80,CLM,0
2006,Lightning,1,,0.01,0.01,0,Surface,Flat,Cloudy,20,50,NE,25
2006,Lightning,1,,0.1,0.1,0,Crown,Upper 1/3,Cloudy,21,60,SW,5
2006,Lightning,1,,0.2,0.36,0.1,Surface,Flat,Cloudy,22.5,43,NW,10
2006,Lightning,1,,0.1,0.1,0.1,Ground,Flat,Clear,22,30,W,5
2006,Lightning,1,,0.01,0.01,0,Surface,Lower 1/3,CB Wet,22,30,NW,15
2006,Recreation,0,Abandoned Fire,0.01,0.01,0,Surface,Lower 1/3,Clear,22,30,NW,5
2006,Lightning,1,,0.01,0.01,0.1,Surface,Flat,Cloudy,19,50,E,15
2006,Lightning,1,,0.01,0.01,0,Surface,Flat,Cloudy,21.5,74,CLM,0
2006,Lightning,1,,0.01,0.01,0,Surface,Flat,Clear,25,37,CLM,0
2006,Lightning,1,,0.1,0.1,0.1,Surface,Flat,CB Wet,18,70,W,10
2006,Lightning,1,,15,16.2,50,Crown,Flat,Cloudy,25,26,W,20
2006,Lightning,1,,4,417.7,3,Crown,Upper 1/3,CB Dry,30,27,E,10
2006,Lightning,1,,0.1,0.1,0,Ground,Flat,CB Wet,20,63,NW,2
2006,Resident,0,Unsafe Fire,0.01,0.01,0,Surface,Flat,Cloudy,16,50,SW,5
2006,Lightning,1,,0.01,0.01,2,Surface,Flat,Clear,35,20,E,5
2006,Incendiary,0,Arson Suspected,0.01,0.01,0,Surface,Flat,Clear,6.5,81,SW,7
2006,Lightning,1,,0.01,0.01,0,Surface,Flat,CB Wet,16,82,SW,9
2006,Lightning,1,,0.01,0.01,0,Ground,Flat,Rainshowers,24,100,CLM,0
2006,Lightning,1,,0.03,0.02,1,Surface,Flat,Cloudy,23,52,NE,10
2006,Lightning,1,,0.01,0.01,0.1,Ground,Lower 1/3,Cloudy,15,85,E,5
2006,Lightning,1,,0.1,0.1,1,Surface,Middle 1/3,Cloudy,15,50,N,5
2006,Lightning,1,,0.1,0.01,1,Surface,Upper 1/3,Clear,19,79,S,5
2006,Recreation,0,Abandoned Fire,0.01,0.01,0,Surface,Flat,Cloudy,18,50,W,3
2006,Other Industry,0,Burning Substance,0.01,0.01,0.1,Surface,Flat,Clear,21,45,W,5
2006,Power Line Industry,0,Insufficient Buffer,0.02,0.02,0,Ground,Flat,Clear,20,30,CLM,0
2006,Recreation,0,Abandoned Fire,0.01,0.01,0,Surface,Flat,Clear,27,24,N,2
2006,Lightning,1,,0.01,0.4,0.1,Surface,Flat,Clear,23,40,W,10
2006,Resident,0,Abandoned Fire,0.01,0.01,0,Surface,Flat,Clear,26,12,W,5
2006,Lightning,1,,0.1,0.1,0,Surface,Lower 1/3,Cloudy,23,30,W,5
2006,Other Industry,0,Permit Related,0.01,0.01,0,Surface,Flat,Clear,20,55,SE,9
2006,Lightning,1,,0.01,0.01,1,Surface,Flat,Cloudy,23,30,W,5
2006,Undetermined,0,,0.01,0.01,1,Ground,Flat,Cloudy,24,35,E,20
2006,Resident,0,Permit Related,0.01,0.01,0,Surface,Flat,Clear,20,71,N,5
2006,Recreation,0,Abandoned Fire,0.01,0.01,0,Ground,Flat,Cloudy,14,81,W,7
2006,Lightning,1,,0.01,0.01,0,Surface,Flat,CB Dry,20,45,E,5
2006,Oil & Gas Industry,0,Burning Substance,0.1,0.5,5,Surface,Flat,Clear,24,40,SW,30
2006,Lightning,1,,0.2,0.2,0.9,Surface,Flat,Clear,24,36,NW,3
